CPROV;prov_name
2;Albacete
3;Alicante
4;Almería
1;Álava
33;Asturias
5;Ávila
6;Badajoz
7;Baleares
8;Barcelona
48;Bizkaia
9;Burgos
10;Cáceres
11;Cádiz
39;Cantabria
12;Castellón
13;Ciudad Real
14;Córdoba
15;A Coruña
16;Cuenca
20;Gipuzkoa
17;Girona
18;Granada
19;Guadalajara
21;Huelva
22;Huesca
23;Jaén
24;León
25;Lleida
27;Lugo
28;Madrid
29;Málaga
30;Murcia
31;Navarra
32;Ourense
34;Palencia
35;Las Palmas
36;Pontevedra
26;La Rioja
37;Salamanca
38;Santa Cruz de Tenerife
40;Segovia
41;Sevilla
42;Soria
43;Tarragona
44;Teruel
45;Toledo
46;Valencia
47;Valladolid
49;Zamora
50;Zaragoza
51;Ceuta
52;Melilla
